Username,Review Number,Title,Text,Date,Rating,Rating,Rating,Rating,Rating
683harjs,3 reviews,Great pub and great staff,Went to this pub for just one night intending to have just one drink before dining at an Italian restaurant. We were lucky enough to grab one of the two private booths near the entrance (with our own TV). Ordered some chilli con carne nachos...More,Date of visit: May 2018,5,,,,
LukasVarnauskas,12 reviews,Best pub in Eternal city of Rome,"I’ve been going to this pub for around two and a half years now and have to say that It still amazes me every time. The staff is amazing, there’s many selection of beers, types of whisky and all sort of drinks! The location of...More",Date of visit: May 2018,5,,,,
wrathofthekitty,24 reviews,"Good stop for a cold beer, typical pub food","This is a nice place to stop for a cold Czech pilsner, unavailable to those of us in the U.S. medium sized beer menu at typical cost in Rome. We had some nachos w our beer, which were better than average. Bathrooms were clean. No...More",Date of visit: May 2018,,,3,,
758JohnB758,74 reviews,"Great people, food and whiskey!","I was here 3 years ago and loved the place, so I brought my wife this time. 
Helen took care of us royally . Back again tonight to sample the single malts. Too bad we have an early train tomorrow. But we will be back...More",Date of visit: May 2018,5,,,,
hollysue123,10 reviews,Great Oasis in busy centre of Rome,"We landed here accidentally and went in to see if we could catch the Royal Wedding on tv May 19th 2018. The staff especially Lauren from Cornwall, England, were so obliging. We stayed for lunch and a nice glass of Guinness. Seats were comfortable and...More",Date of visit: May 2018,5,,,,
BillyHoward423,200 reviews,Great Pub for Drinks,Came here to escape the rain and grab a pint.  Loved this place. Reminded me of Ireland. Most of the staff was from Ireland. Everyone was nice and had a good pint.  Was definitely a nice change of pace for being in Italy.,Date of visit: May 2018,5,,,,
Tfnybrooks,59 reviews,Best pub and friendly for tourists,Love this place!  Mike our Canadian bartender made the BEST chambord Cosmo martini ever!!! He was so helpful in our map navigating! Great friendly place for an American tourist!,Date of visit: May 2018,5,,,,
checkerInAz,55 reviews,"great pub, good food, unstable staff","Wife and I walked in, sat in the 2nd bar area.  Server brought menus and greeted.
""For your drink?""
""Pilsner Urquell""
""Good choice""
""What's the soup?""
""Veg.""
(Pause)
""We'll need a minute on the food.""
He returned with the beers, said nothing, and proceeded to...More",Date of visit: May 2018,,,,,1
peterdL6635EO,9 reviews,Good Irish Pub in Rome,"Lovely pub in Rome and great location, stopped in twice and would go back again, nice place, well laid out and traditional Irish feel and different music to suit your taste on each side, had a look at menu and looks good, although we didn't...More",Date of visit: May 2018,,4,,,
FreddieP_11,18 reviews,"Great choice of beers, great staff, well-managed bar","We were a party of 7 people who frequented this big, bustling Irish bar on 2 consecutive days (for several hours!) this weekend. The service was outstanding from all the staff, particularly Dubliner Mark, who could not do enough to look after us, including finding...More",Date of visit: May 2018,5,,,,
mombir,91 reviews,Gone Roman,Irish lifesaver in the heart of Rome. Great Irish beers and solid irish food. Prices are reasonable and the staff are friendly. Genuine irish music is played live on Friday nights. Will be back for an Irish Breakfast.,Date of visit: May 2018,5,,,,
777erniez,7 reviews,Great bar in Rome,"Fantastic bartender, huge selection of beers, right in the middle of Rome!! 
I’ll be back 
The prices were fair and the food was really good",Date of visit: May 2018,5,,,,
depst001,28 reviews,Finally a good Beer in ITALY,"At the end of our 3 weeks in Italy, this place offered a decent/Great BEER! That is not an easy thing in Italy!  Many options, good service,reasonable prices(for Rome) and a friendly Staff. WE were so appreciative that we sought them out the next day...More",Date of visit: April 2018,5,,,,
Dee P,2 reviews,Extortionate prices...,25€ for a cocktail and a spirit with mixer... you'd be well advised to avoid and go to a local bar. Rip off!,Date of visit: May 2018,,,,,1
ebmcg,4 reviews,Irish Pub of the year!,"Not surprised Scholars received best Irish pub in Europe and Global . 
The staff are mostly Irish and the service is great. The atmosphere is lively yet it has something for everyone, families, groups and party goers.  Menu is fab and really good value for...More",Date of visit: April 2018,5,,,,
TheRossiMagic,47 reviews,Good Irish bar in Rome,"Excellent food, drink and custom service. Naturally as nearly all the drinks are imported they are very over priced compared to local drink in a local bar.",Date of visit: March 2018,,4,,,
527darrylr,22 reviews,Shame,Came for a drink and there was a semi busy atmosphere. Grabbed a drink and there were no spaces to sit downstairs. Went upstairs where there were multiple empty tables and we were asked to leave the seats due to it being dining only. I...More,Date of visit: May 2018,,,3,,
chrispE1901SL,73 reviews,Cider!!!!,"Finally a pub to visit that serves cider, something I’ve struggled to find elsewhere on this trip to Rome! Nice atmosphere here and show sports if there’s something on.
However, came at a fairly busy time where we sat upstairs for a drink as it...More",Date of visit: May 2018,,,3,,
davidwO4069ZT,2 reviews,Crowded and heavy handed staff,I was in Rome on business at the same time as the AS Roma vs Liverpool CL Semi Final. I went to scholars as it had been recommended by a colleague. The place was dedicated to Liverpool supporters but there didn’t seem to be a...More,Date of visit: May 2018,,,,,1
anitagibbons1973,1 review,Anita Gibbons,I was in Rome for the weekend last weekend and l spent 2 of my 3 nights in this pub. The atmosphere was excellent and the staff were excellent.  The staff were so professional and the service was excellent. Also a big shout out to...More,Date of visit: April 2018,5,,,,
Lgjl,12 reviews,Pub,Was in it watching Celtic game on Sunday 29th April wasn’t overly impressed at all price for a magners and a small beer 12 euros way over priced,Date of visit: April 2018,,,,2,
7KeithB,39 reviews,World Award Winning Irish Pub,"We have been here for a few drinks, in the afternoon/evening and night time, much appreciated after wandering around Rome all day, atmosphere always friendly and welcoming, nice quiet location off the “beaten track” and the food we have had has been delicious, would thoroughly...More",Date of visit: April 2018,5,,,,
ashrafs44,172 reviews,Excellent service - proper irish drinks and spirits,Irish bar ran by irish staff. Full of irish drinks and irish spirits normally not found out of Ireland. Fantastic service. One of our party was in a wheelchair and they were so helpful with finding a table and making us comfortable as possible.,Date of visit: April 2018,5,,,,
BiroR10,9 reviews,Irish whiskey in Rome,"A friendly Irish pub with very kind services! And good Whiskeys!!!!!! Lots of whiskey Sortiments, and lots of good beers!",Date of visit: April 2018,5,,,,
E4784HJteresam,2 reviews,Fun vacation night,"Joe and I had a great time, music good, food good, bartender Lee good. We met great people from Nottingham Kimberly and Callum",Date of visit: April 2018,,4,,,
Angela S,3 reviews,Irish,What a great little Irish bar live music all Irish staff and definitely recommend the nachos very tasty. Great atmosphere.,Date of visit: April 2018,5,,,,
grantb610,4 reviews,Overpriced,"We dropped in for a drink and found a corporate style pub with overpriced drinks.
I tried to ask about pricing and was just brushed off with a passing comment.
Plenty of other places to go with cheaper prices and genuine atmosphere.",Date of visit: April 2018,,,3,,
JackieF546,26 reviews,Home Away from Home in Rome,"We discovered the Scholars Lounge on our first night in Rome and stopped for a late lunch.  Our bartender and server, Mark, made us feel so welcomed that we visited twice again during the week, both times for dinner.  All of our meals were quite...More",Date of visit: April 2018,5,,,,
MattWE,37 reviews,Ideal for a drink on a hot afternoon,"Called in for a drink on a particularly hot afternoon after trecking around Rome most of the morning. Good service, nice atmosphere, shows sports (and was consequently very busy), quick service.",Date of visit: April 2018,5,,,,
gavmur13,65 reviews,Deserves its title as the best Irish pub in the WORLD,Visited here to get a taste of home on our holidays. Its like stepping in to my local back in Ireland. Authentic is an understatement. The Guinness was great. we forgot to pay for a round before we left and felt so bad we returned...More,Date of visit: April 2018,5,,,,
Olga B,6 reviews,Best pub in Rome,Wish we had found this sooner than our last night in Rome. Great food and ambiance. Friendly staff and patrons.,Date of visit: April 2018,5,,,,
David M,3 reviews,AUTHENTIC,Bartenders from IRELAND. LOVED THE ACCENT! HUGE selection of BEER AND THE FOOD WAS GREAT.  My husband ordered THE GUINNESS BEEF and I had a great soup.  Our son ordered the burger which I guess was just OK. We stopped in for a beer on...More,Date of visit: March 2018,5,,,,
Christine B,2 reviews,Great staff!,"Spent four days in Rome and you can always count on an Irish pub to make you feel at home. Staff is super helpful and provided tips and pointers for getting around best, also made great food and drink recommendations. Be sure to ask for...More",Date of visit: March 2018,5,,,,
Marc R,10 reviews,2nd time here,Watched Champions League final here 2017 and met a friend who was in Rome for the weekend. Great vibe and atmosphere for drinks and meeting people. Mark the bartender super friendly and offered great service. Was awesomene to talk travel adventures with him. When in...More,Date of visit: March 2018,5,,,,
216GeoS,34 reviews,Irish pub in the hesrt of Rome,"The pub is onle three minutes from Venice square. We were here during lunch. Service fast, food nice, beer fresh. Recommend",Date of visit: March 2018,5,,,,
Breda M,101 reviews,Lovely lunch,We came across this Irish pub as we walked around Rome we decided to stop and have lunch. The bar was very busy and good atmosphere. All the food that we saw coming out looked lovely. We had a chicken wrap which was lovely. They...More,Date of visit: March 2018,5,,,,
Katrina H,89 reviews,Best irish bar,"Was lucky to be in here for the irish rugby win of 6 nations and the grand slam. Great irish bar , loads of tv screens and a great food menu. Very popular and deserving of its awards",Date of visit: March 2018,5,,,,
HannaTob,31 reviews,A cozy stopover in Rome,"Found this gem of a pub by accident on our way to the Pantheon in rainy Rome. Excellent selection of gin and tonics, ciders and beer. Cozy atmosphere and friendly staff. We had only crisps to eat this time but will definitely try some of...More",Date of visit: March 2018,,4,,,
Nigel H,326 reviews,Wales v Italy,Watched the rugby in here recently the food was great and prices not too bad for Rome.There was a great atmosphere. We stayed there for hours and the staff didn't chase us for money they were happy for us to pay when we wanted. Would...More,Date of visit: March 2018,,4,,,
Geoff_and_Juls,200 reviews,"Perfect for a pint, prosecco & pulled pork!",Our third visit here and it is consistently good. We intended to visit the Trinity Irish Bar but the staff were quite unfriendly/unhelpful; the Scholars came to our rescue. It really is a most friendly establishment with a good range of beers and wines. The...More,Date of visit: September 2017,,4,,,
David H,8 reviews,Best Irish Pub in Rome,Large Irish bar with lots of screens showing rugby and football.  Bar staff are amazing. We went there on two nights and they had live music on both nights. Large selection of beers - bit pricey but worth it for all the extras. Nice friendly...More,Date of visit: March 2018,5,,,,
csantoni,1 review,Rare insights to the beehive,Scholars Irish pub is a truly unique experience one of a kind deals and excellent bathroom cleanliness. I did not have high hopes coming in but I was pleasantly surprised. The bartender has a charming smile unmatched by any I have seen before. He has...More,Date of visit: March 2018,5,,,,
Dylan D,46 reviews,Great Irish Bar in the Centre,Been to Scholars for some drinks on a Sutarday night. The place was packed with people but we managed to find a place in a corner. The drinks are great but pricey. The atmosphere is great too 😊,Date of visit: February 2018,,4,,,
Paula M,2 reviews,Fantastic atmosphere!,"Visited for food (baked potato with chili and cheese - yum!) and stayed for some lovely pints of Guinness and the craic...friendly, excellent bar staff",Date of visit: March 2018,5,,,,
jeffsjeep,121 reviews,whiskey connoisseur present,we stopped by the irish pub to have lunch and to get out of the pouring rain to dry off. i’m glad we did and enjoyed a burger before enjoying chatting to nick due to his knowledge of fine whiskeys available to enjoy. the crew...More,Date of visit: March 2018,5,,,,
steve13571,13 reviews,Excellent Sports Bar,"We visited this bar looking for avid Rugby fans for the away game in the six nations. We were not dissapointed. Our 1st night in Rome turned into a blast. This place was rocking with Rugby Fans, live music and lots and lots of banter....More",Date of visit: February 2018,5,,,,
Rosie A,6 reviews,Fantastic!,"Spent a lot of our time here in Rome for meals and drinks as it was just round the corner from our hotel. Fantastic pub! Food is brilliant, would highly recommend.",Date of visit: February 2018,,4,,,
Suzanne F,126 reviews,Great pub,We called in a couple of times while in Rome once for a meal and once to get out of the rain.  The meals looked lovely I had the beef and Guinness which was very nice.  The measures of drinks in around are generally larger...More,Date of visit: February 2018,5,,,,
maletechguy,4 reviews,"Nice building, horrific pricing","An average and poorly poured Guinness will set you back €7. The other drinks, including basics like tea, are also a rip off. A shame as the building is quite nice.",Date of visit: February 2018,,,,,1
Dolores H,17 reviews,home from home,"Really enjoy the drink and food, and staff are wonderful, Mark and Cillian stood out great guys, will be back.",Date of visit: February 2018,5,,,,
Lucrezia I,6 reviews,It's like being in Ireland!,"The Scholar's Lounge is an amazing pub! The staff is so welcoming, the food and the beers are great! Being there it's like being in Ireland and every night, you can find something good to do: karaoke, live music, dj set and so on! the...More",Date of visit: February 2018,5,,,,
David P,3 reviews,Weekend,Called in for a pint or two and found this place very friendly with a good atmosphere. The food was nice too and the staff were very friendly. Great for watching football or rugby as screens everywhere.,Date of visit: February 2018,5,,,,
523jessicay,87 reviews,Typical Irish Pub,"Came here a few times on our visit to Rome. Nice atmosphere with some good music on. They showed the main football matches whilst we were here. The food looked nice but we never had any so can’t really comment. 
Each night music was advertised...More",Date of visit: February 2018,,,3,,
Jane K,48 reviews,Friendly large Irish bar,"We were looking for somewhere to watch sport and found Scholars by accident.
There are plenty of screens showing different sports, a wide variety of drinks and very friendly staff. We didn't eat there but the food looked nice. 
It is a late bar (3am)...More",Date of visit: February 2018,,4,,,
M152,138 reviews,"Awful food, expensive drinks","Came here to watch the match over the weekend. The drinks were expensive and the food was very poor quality. Had to ask many times for the sound to be put on for the football over the Irish music, they finally agreed after other people...More",Date of visit: February 2018,,,,2,
markkN8900EZ,19 reviews,Been to many Irish pubs,Clean atmosphere.  It was a refreshing change to pop in for a pint of Guinness in Europe and not find a smoke filled pub.  Great location and pleasant staff.,Date of visit: February 2018,5,,,,
lisakX4047ZY,55 reviews,"Great, nice atmosphere","Went in when Ireland rugby was on, it was packed! We managed to get a table and both had the breakfast which was lovely. It's on the more expensive side but then not much in Rome is cheap! It's a nice friendly atmosphere. If want...More",Date of visit: February 2018,,4,,,
Alison L,3 reviews,We had a good time,Good drinks and good food.  The Buffalo chicken wings are not prepared buffalo style as advertised but they're still pretty good.  My friends all enjoyed their food.,Date of visit: February 2018,,4,,,
Chris T,164 reviews,Long Weekend in Rome,The 4 of us returned to Rome for the 6 Nations and just had to return again to this excellent pub. Food and drink was good and the whole design and atmosphere of the pub unique. Staff very friendly and the fact that when we...More,Date of visit: February 2018,5,,,,
Felthorpe,34 reviews,Very expensive,Since our last visit this pub has won an award and so felt it ok to whack up the prices. We won’t be going there again!,Date of visit: February 2018,,,,2,
Les L,3 reviews,Six Nations watering hole,Top place for beers in Rome with music ala Barmy Arms at Twickenham. Friendly staff and live music Friday .,Date of visit: February 2018,5,,,,
Alan M,18 reviews,Highly Revommended,"First time in Rome and lucky to have visited here. I went 3 times both alone and with Italian friends during the day and the evening.
Its an oasis of calm in a busy city.
The food was superb and presented on huge plates at...More",Date of visit: February 2018,5,,,,
773nicholasn,676 reviews,Disapointing,We had Irish Coffee and it was small and average. I had expected more from an Irish pub. Also the service was slow even though there was hardly any people. The decoration is pretty good though. We didn't try the food.,Date of visit: January 2018,,,,2,
Susan_Ortega,28 reviews,Lovely visit,"Lovely wine, we didn’t have food, jus stopped into have a drink. Very nice place for a drop in visit",Date of visit: January 2018,5,,,,
MariaM2724,4 reviews,WOW NACHOS,"Holy moly best nachos we’ve ever had, literally went back everyday (chilli con carne obviously a most) staff were so friendly and IRISH, nice to see Irish staff in an Irish bar. Overall great atmosphere and fantastic pub, would highly recommend!",Date of visit: January 2018,5,,,,
michaelaE9705BJ,13 reviews,Holiday bloss,"Was in Rome for 5 days with a couple of friends, found this place purely by chance while wondering the streets of Rome.
Went there every single day following.
The staff were amazing! Eoin was always ready to greet with a witty comment and always...More",Date of visit: January 2018,5,,,,
spanishred2018,3 reviews,Footie,"Called in to watch the football. Had a meal whilst watched match.
 Staff were really great, excellent service and my team won!",Date of visit: January 2018,5,,,,
F4638FOsimonm,46 reviews,Arrival drink,Just arrived in Rome and wanted a relaxing drink. Great ambience and good service. Location is close to centre,Date of visit: January 2018,,4,,,
Brian S,6 reviews,ticks all boxes,"we were there early with our toddler and there were a number of good things.....friendly staff, decent food and drinks and a typical irish bar abroad feel with lots of sports and live music advertised.",Date of visit: January 2018,,4,,,
Paul j,196 reviews,As Irish bars abroad go.. it's good,Ita not hard to see why they won Irish bar of the year 2017. Spacious... well laid out.... central... comfortable.... friendly management... busy.  Drinks are not cheap but there is an atmosphere that is often missing in 'Irish' bars outside of Ireland.  And they serve...More,Date of visit: January 2018,5,,,,
SeamusB537,6 reviews,How on Earth,How on Earth is this best Irish bar in Rome? Vodka with dash of 2lt flat soft drink €9. Bad Guinness €7. Filthy toilets. Zero atmosphere. Very confused Irish guy.,Date of visit: January 2018,,,,,1
GillM363,1 review,fab pub,"after living in rome for so many years have found a great new local pub,fab food,fab place fab staff .......Mark.",Date of visit: January 2018,5,,,,
LieslVT,11 reviews,Typical Irish pub / sports bar in central Rome,This is a nice place with nice staff.  It's quite big and has plenty of screens showing lots of different sports (so don't expect commentary unless you manage to grab one of the snugs). The menu has typical Irish pub fare and it's a bit...More,Date of visit: January 2018,,,3,,
wesal2014,35 reviews,Amazing place to chill with your friends,"I just loved this places, nice music and karaoke every one was having fun and enjoying, we even ordered food and we forget to tell them not to add chicken on it, they change the dish for free
I do advise",Date of visit: January 2018,5,,,,
Cecillia C,7 reviews,Love,This was such a fun place to go!! Very American and the staff was easy to talk to! The bar stayed opened late and it was within walking distance from my hotel! Lots of people and great drinks! Highly recommend going!!,Date of visit: January 2018,5,,,,
Lev Z,2 reviews,"Warm, high quality and welcoming","It was unexpected to find an actual Irish pub in the middle of Rome, with an emphasis on a nice beer collection (with actual original tank systems for beers like Pilsner Urquell), a fluent English speaking staff, Wi-Fi and all the rest of the luxuries...More",Date of visit: January 2018,5,,,,
Z2388XEtanyam,33 reviews,Food,Food not great and very overpriced. Looks like big portions but half of your plate is just shredded lettuce. The burgers were tasteless and the all day breakfast was a rip off at €13. The staff tho are extremely pleasant and friendly.,Date of visit: December 2017,,,3,,
kayo606,127 reviews,Great pub with great food,"I had lunch at this pub on a Friday and was very impressed. It’s looks like a traditional Irish pub with Irish music playing in the background. We had the baked potato, chicken wrap and fish and chips. The portions were big and the service...More",Date of visit: January 2018,,4,,,
suntracker,129 reviews,good food midweek,We went there a few times. Great beer selection and good menu.  The servings were huge.  The food and service were definitely better midweek.  On the Friday evening we were an hour at our table without service and the food was not nearly as good...More,Date of visit: December 2017,,4,,,
KG2196,45 reviews,Very good,"Very nice location. Lots to choose on the menu, although the Irish breakfast was over priced it was good. Friendly staff. If you ever want to find the English people on your holiday this is the place to find them.",Date of visit: January 2018,,4,,,
Proinsias O,7 reviews,Raised the price of drink during the night,Got food in here which was ok but very disappointed when they put a sign up at 11 to put the price of drink up. Toilets were not clean either but Staff were pretty good and they do have plenty of sports on tv but...More,Date of visit: January 2018,,,,,1
Bernie D,2 reviews,Brilliant Irish Pub,We visited this pub at Christmas time and really enjoyed being there. Food was just awesome in particular the Mamas Irish stew and fish and chips. We did feel like we were in Ireland again - such a wonderful atmosphere.  Staff were fantastic - those...More,Date of visit: December 2017,5,,,,
geob116,16 reviews,do not miss this place!!,"a pub pub!! friendly, reasonably priced, sports on show, music, amazing staff!
went into this pub to get out of the rain , so glad we did!
was greeted with smiles and warmth from staff and a cracking pint of the black stuff!
due to...More",Date of visit: December 2017,5,,,,
Youngseve,9 reviews,O' Dwyer family,We have visited here twice everyday on a rainy trip to Rome. The staff have been fantastic even remembering us on return visits. Two great family cosy booths on one side and plenty of tv screens which you can put what ever you want on....More,Date of visit: December 2017,5,,,,
Tam F,1 review,Just awesome~,"There were seven of use in the party, without a reservation and we were welcomed and told to sit anywhere we liked.  Our waiter Mike was super, and made wonderful suggestions and offered tasting of beers we were unsure of.  If it had been my...More",Date of visit: December 2017,5,,,,
innianna,75 reviews,Absolutely delighting place,"We’ve been there for Christmas Dinner and we enjoyed beverages, food and music all the time.
The service was friendly and really interested in getting a comfortable stay for us. Nothing to complain about.
Coming back soon as possible!",Date of visit: December 2017,5,,,,
Blackhawk57,5 reviews,Complete Disappointment - a great bar to hold an AA meeting at.,"Had high hopes for hops when we walked in.  But this pub, which advertises itself as the best Irish Pub in the world was a complete disappointment.   The service was terrible.  Sat down at a table near the bar.  The bar employees, who almost outnumbered...More",Date of visit: December 2017,,,,,1
kiwi262016,189 reviews,Just like Mums cooking,"We ate at this Pub tonight.as we have been travelling for 3 weeks now we were looking for a tasty meal,we found it.great service I ordered the Chicken leg and vegtables Hubby had the Irish stew.
The staff were very pleasant there was not alot...More",Date of visit: December 2017,5,,,,
Jackie D,4 reviews,Great fun atmosphere,Tuesdays and Wednesdays are Karaoke nights and they are a ton of fun!! Cillian is the best bartender. All around great place to enjoy drinks with your friends. Food is good too.,Date of visit: October 2017,5,,,,
ellieb309,35 reviews,Typical pub found!!,"We wanted somewhere kind of homely and somewhere typically pub style it was really nice inside with a range of cocktails and beers, really easy to talk to the bar staff, they had big craft beer tanks and cocktail presentation was really good!  It wasn’t...More",Date of visit: December 2017,,4,,,
Ian R,219 reviews,Great for Sports TV and a Guiness!,Friendly but over busy bar which was great if you enjoy a pint and watching your team on TV. However if you want a quiet bar for a drink and chat then this was not the ideal place.,Date of visit: December 2017,,,3,,
stefnicole,311 reviews,Fish & chips & beer,"We came here in the midst of a fish and chips craving.  The bar itself is packed and it's hard to find a seat.  The beer selection is decent, and prices matched what I expected for Rome. 
I was disappointed in the fish and chips,...More",Date of visit: September 2017,,,3,,
Somebird,38 reviews,Excellent for Nachos and a pint!,My dad and I called in for a quick pint and to rest our weary feet.  What an excellent find - superb tasty and plentiful nachos (we were stuffed after sharing a dish) €12.50. Good value I feel. Lovely homely pub - recommended.,Date of visit: December 2017,5,,,,
bill499,53 reviews,good sports bar,"the service, beer and sports on offer are all good value, however, after a few iffy experiences I am not enamoured with the food. Dry & functional although the servings are not meagre. The bar is spacious and one of best in Rome for a...More",Date of visit: November 2017,,,3,,
jukeBelfast,22 reviews,Ripped off,Absolutely felt ripped off at this bar. We ordered 2 glasses of wine and they came....only 100ml in each glass for €4 .50. I have never ever been served such a small glass of wine in a bar in my life.We couldn’t believe that they...More,Date of visit: December 2017,,,,,1
Pipdai71,30 reviews,"Great bar, fantastic friendly staff.",This was the base for a recent weekend visit to Rome. Great sports selection and really friendly helpful staff. Thanks for such a good time!,Date of visit: November 2017,5,,,,
ffoster01,1 review,"Love this pub, by far the best!","We visited Italy for only a couple of nights, we managed to find a local Irish pub a couple of minutes from our hotel. Absolutely lovely atmosphere, we was served straight away and our food was ready within 10-15 minutes. Would defiantly recommend and we...More",Date of visit: November 2017,5,,,,
TripAdvExp123,65 reviews,"overpriced, real shame as it's a nice pub","usually love Irish pubs and this one has a lovely setting but the prices are expensive. the price for wine and the amount you get (small!) is ridiculous. you can't even ask for a large. beer around €7.50/8 which is high end.
It's a shame...More",Date of visit: November 2017,,,,2,
natalie_v21,13 reviews,Great beer and atmosphere,"Variety of beers, served in the temperature they deserve, cosy atmosphere, kind staff. The pizza we ate was quite tasty.",Date of visit: November 2017,5,,,,
Michael B,56 reviews,A true authentic Irish bar in the heart of Rome,"A quintessential Irish bar in the heart of Rome. You will think you've been transported to Dublin or Belfast. With traditional booths and authentic decor. The selection of beers, stout and ales are what you would expect in these cities. A great, simple, quality menu...More",Date of visit: November 2017,5,,,,
CorAndo_x,11 reviews,Amazing Bar,Was on a city break with Rome with my girlfriend. We found this bar and had food which was amazing! First appearances were exactly like a pub in Ireland. Atmosphere was lively and staff were so friendly and saw to any of our needs. Mark...More,Date of visit: November 2017,5,,,,
Melanie C,1 review,Best strawberry daiquiri's in Rome,"great pub, food is great nice to have a break off the Italian food lol. But the staff made are visit! I decided to compare Daiquiri's made by each staff member that where all amazing. :) so thanks to Lauren, Sufi, Mark & Jonny for...More",Date of visit: July 2017,5,,,,
lhbadger,5 reviews,Over priced,I am a student in Rome and have been overcharged for drinks on two separate occasions by the same bartender. I know this is because I got the same drink for half the price at the other bar counter. Very discouraging and would not recommend.,Date of visit: November 2017,,,,,1
Ali Can Ö,1 review,Very very good place,"I watched Besiktas’ game in an Irish Pub in Roma with people all around the world. Very cozy atmosphere, good beer and nice staff. This place makes you feel like you are home; loved it!",Date of visit: November 2017,5,,,,
Sara2129,57 reviews,F1 and good grub!,"So upset when we found out the television in our apartment wasn't showing the F1 races, but Scholar's Lounge does!  It was fun watching with other F1 fans and the food is much better than we expected for a pub. The salmon wrap was very...More",Date of visit: October 2017,,4,,,
beliveaul2017,2 reviews,Amazing Irish Pub,"Spent three days in Rome and had to go twice, food was great, beer was cold. Can’t ask for much more than that. Would definitely go back again.",Date of visit: November 2017,5,,,,
S9576TJjohns,1 review,Excellent,"Stopped in for a beer and wished we could have stayed all day. Fabulous staff. Mark was particularly helpful in choosing the best beers, most notably the bacon flavored one. You gotta try it!! Did not get a chance to try the food but from...More",Date of visit: November 2017,5,,,,
Rooster933,94 reviews,Great Bar,"Visited Rome recently, not usually a fan of doing the Irish bar thing in cities in Europe but have to say this is the exception, great helpful staff who like a crack, excellent food, great place to watch sport, definitely recommend. Faultless!",Date of visit: November 2017,5,,,,
Zimflowergirl,7 reviews,Frickin fantastic!!,"Exactly like walking into an Irish pub in Dublin!! Excellent food, fresh Guinness and all English respite in the middle of Rome! A must",Date of visit: November 2017,5,,,,
rhomer23,6 reviews,Irish Pub in Central Rome,"Here’s my email to Scholars Pub after we got back to Texas. The note says it best. 
“Just wanted to let you folks know how much we enjoyed our visit to your place and conversing with staff, one who was also originally from Texas, and...More",Date of visit: November 2017,5,,,,
jim_skylark,19 reviews,Favorite pub in Rome,"I come here every time I visit the city. I was here this time for the Italy-Sweden match (fun for me, but maybe not for all...) Staff is always friendly and happy to help. If you plan on visiting in the evening, be ready because...More",Date of visit: November 2017,5,,,,
andrewcD3572TV,31 reviews,Good food and friendly service,"We ate here for lunch. We had burgers and they were huge. The only thing that let it down was the chips looked and tasted like oven chips, but that wouldn’t put me off coming again if I was in Rome.",Date of visit: November 2017,,4,,,
Krissy S,2 reviews,Amazing Irish Pub,"Staff was super friendly, good drink prompt service. Great enviroment in the place. 10/10 would revisit and recomend.",Date of visit: November 2017,5,,,,
Exploration60963,2 reviews,Awesome Staff!!!,My husband and I stopped in with some friends who were celebrating their honeymoon. We were just exploring the city and came upon this pub. Stopped in to see if they could compare to pubs in Ireland. They Can! Lovely staff!! Lauren and Lee were...More,Date of visit: November 2017,5,,,,
StephenCr0ss,"5,976 reviews",Sports bar in central Rome,Big and busy. Food average and service a little slow. Busy place with all sports shown on multiple TV's.,Date of visit: November 2017,,4,,,
AVB75,64 reviews,Amazing and Friendly,What an amazing friendly pub...beautiful food.....wonderful friendly staff so helpful....so much fun Jon the bar man made our trip here so memorable......if we ever come back to Rome we will definitely be visiting again without a doubt!!!!,Date of visit: November 2017,5,,,,
PennyG922,293 reviews,"Good food, great atmosphere","We called in for a 'non-Italian' dinner after two weeks of pasta and pizza. The wine and beer were great and the food was typically English-style food, fresh and delicious. Scholars is a typical Irish pub with lots of noise, sports on TV and friendly...More",Date of visit: November 2017,,4,,,
NishaSaniiBura,69 reviews,Casual drink kind of Pop in•,"So we got thirsty and wanted a pint, looked up online for some recommendations and found this pub, must say it was amazing! Karaoke night was spectacular, although it was bit crowded, it was a fun experience! Definitely worth money! Go on karaoke night and...More",Date of visit: November 2017,,4,,,
JanPez,60 reviews,Good pub vibe and nice food,"Visited the pub twice, first just shared a pizza and had a pint of very nice lager. The second time we had a larger meal. Mammy’s Lamb stew and chilli. Both were really tasty and well presented and there was plenty of it",Date of visit: November 2017,5,,,,
Jeremy C,41 reviews,"Over-exaggerated, Over-priced, and definitely not Irish","I went to Scholars a couple of times, the last one was on Halloween. First of all, it was too crowded, to the point where you could barely breathe. Now, in some clubs across the world, that could be fun - IF THE PLACE IS...More",Date of visit: October 2017,,,,2,
829jenj,36 reviews,Wonderful!,Great value for your money. Extensive menu and great serving sizes! They have food for everyone and have alcohol for the masses! Has a great atmosphere and draws international crowd. My partner is Scottish and he says it reminds him of home :),Date of visit: November 2017,5,,,,
Tomazen,38 reviews,A little break from the norm,"Walked by one evening and the smell was so tempting that we came back the next day for lunch.
An excellent spot for travel-fatigued Brits or Yanks who fancy a taste of something that isn't covered in tomato sauce or garlic. The staff (mainly Mark)...More",Date of visit: November 2017,5,,,,
Chazxx2011,33 reviews,Cocktails in the afternoon,Last day in Rome weather beautiful walking back from the Pantheon. Nice break lovely cocktails in a very friendly Irish Bar. Good quality cocktails Sec in the beach & Strawberry Daiquiri. Nice crisps as well.,Date of visit: November 2017,,4,,,
